tech_code,tech_name,colour
CRUDRE2X,Crude oil refinery 2,grey13
CRUDPROX,Crude oil refinery capacity,grey07
CREXPORT,Crude oil exports,sienna
SOC2P00X,CSP (with storage),lavender
SOC1P00X,CSP (without storage),grey
EL00TDTX,Distribution technology (Distribution to final electricity demand),grey13
CDELBIBP00,DRC - Burundi EL existing and planned trade link,polarorange
CDELCGBP00,DRC - Congo EL existing trade link,lightgreen
CDELRWBP00,DRC - Rwanda EL existing and planned trade link,silver
CDELZABP00,DRC - South Africa EL planned trade link,polarorange
CDELZMBP00,DRC - Zambia EL existing trade link,silver
EGELJOBP00,Egypt - Jordan Historic EL trade link,yellow
EGELSABP00,Egypt - Saudi Arabia Planned EL trade link,beige
EGELSDBP00,Egypt - Sudan Historic and Planned EL trade link,tomato
EGNGTUBP00,Egypt - Turkey Historic and Planned NG trade link,polarorange
ETHANOLX,Ethanol production,honeydew
ETELDJBP00,Ethiopia - Djibouti EL existing trade link,yellow
ETNGDJBP00,Ethiopia - Djibouti NG planned trade link,beige
ETELKEBP00,Ethiopia - Kenya EL planned trade link,tomato
ETELSDBP00,Ethiopia - Sudan EL existing trade link,beige
FW00P00X,Firewood process (non-power sector),indianred
GMELGWBP00,Gambia - Guinea Bissau EL planned trade link,slategray
GMELSNBP00,Gambia - Senegal EL planned trade link,smurf
GASAGG,Gas,orange
gas_trade,gas_trade,polarpurple
GEOTHERMAL,Geothermal,polarorange
GOCVP01N,Geothermal power plant - Air cooling (new),lightpurple
GOCVP01O,Geothermal power plant - Air cooling (old),ivory
GOCVP02N,Geothermal power plant - MDT cooling (new),lightcoral
GOCVP02O,Geothermal power plant - MDT cooling (old),khaki
GOCVP03N,Geothermal power plant - NDT cooling (new),lightgoldenrodyellow
GOCVP03O,Geothermal power plant - NDT cooling (old),lavenderblush
GOCVP04N,Geothermal power plant - OTF/OTS cooling (new),lightgreen
GOCVP04O,Geothermal power plant - OTF/OTS cooling (old),lemonchiffon
GHELBJBP00,Ghana - Benin EL planned trade link,polardark
GHELBFBP00,Ghana - Burkina Faso EL planned trade link,red
GHELCIBP00,Ghana - Cote dï Ivoire EL existing trade link,sienna
GHELMLBP00,Ghana - Mali EL planned trade link,thistle
GHELTGBP00,Ghana - Togo EL existing and planned trade link,tan
GNELMLBP00,Guinea - Mali EL planned trade link,turquoise
GNELSNBP00,Guinea - Senegal EL planned trade link,wheat
HE00T00X,Heat network,lightivory
HF00I00X,Heavy Fuel Oil imports,lightsalmon
HF00P00X,Heavy Fuel Oil process (non-power sector),lightskyblue
HFEXPORT,HFO exports,lightteal
HYDAGG,Hydro,aqua
ISNGEGBP00,Israel - Egypt Planned NG trade link,silver
KEELTZBP00,Kenya - Tanzania EL existing and planned trade link,black
KEELUGBP00,Kenya - Uganda EL existing and planned trade link,burlywood
HYDMS03X,Large hydropower plant (Dam),mediumpurple
LSELZABP00,Lesotho - South Africa EL existing trade link,tomato
LFEXPORT,LFO exports,polarbluelight
LYELEGBP00,Libya - Egypt Historic EL trade link,burlywood
LYNGITBP00,Libya - Italy Historic NG trade link,tomato
LF00I00X,Light Fuel Oil imports,midnightblue
LFRCP01N,Light Fuel Oil power plant - Air cooling (new),palegreen
LFRCP01O,Light Fuel Oil power plant - Air cooling (old),navy
LFRCP02N,Light Fuel Oil power plant - MDT cooling (new),paleturquoise
LFRCP02O,Light Fuel Oil power plant - MDT cooling (old),olive
LFRCP03N,Light Fuel Oil power plant - NDT cooling (new),papayawhip
LFRCP03O,Light Fuel Oil power plant - NDT cooling (old),orange
LFRCP04N,Light Fuel Oil power plant - OTF/OTS cooling (new),pearl
LFRCP04O,Light Fuel Oil power plant - OTF/OTS cooling (old),orchid
LF00P00X,Light Fuel Oil process (non-power sector),mistyrose
LFRCFURX,Light Fuel Oil stand alone (1kW),mustard
MWELMZBP00,Malawi - Mozambique EL planned trade link,tomato
MWELTZBP00,Malawi - Tanzania EL planned trade link,beige
MLELCIBP00,Mali - Cote dï Ivoire EL planned trade link,skyblue
HYDMS02X,Medium hydropower plant (Run-of river),mediumslateblue
MAELDZBP00,Morocco - Algeria Historic EL trade link,black
MZELZABP00,Mozambique - South Africa EL existing trade link,yellow
MZNGZABP00,Mozambique - South Africa Historic NG trade link,polarbluelight
MZELSZBP00,Mozambique - Swaziland EL existing trade link,beige
MZELZWBP00,Mozambique - Zimbabwe EL existing trade link,burlywood
NMELZABP00,Namibia - South Africa EL existing trade link,black
NMELZMBP00,Namibia - Zambia EL planned trade link,bisque
NMELZWBP00,Namibia - Zimbabwe EL planned trade link,grey11
NG00ELGX,Natural gas exports (Liquification terminal),indianred
NG00X00X,Natural gas extraction,pinksalmon
GASPROD,Natural gas extraction,sienna
NG00I00X,Natural gas imports (inland/offshore pipeline),pearl03
NG00ILGX,Natural gas imports (LNG),pearl05
NGCCP01N,Natural gas power plant (combined cycle) - Air cooling (new),rosybrown
NGCCP01O,Natural gas power plant (combined cycle) - Air cooling (old),polargreen
NGCCC02N,Natural gas power plant (combined cycle) - CCS  - MDT cooling (new),polarbluelight
NGCCC04N,Natural gas power plant (combined cycle) - CCS  - OTF/OTS cooling (new),polardust
NGCCC01N,Natural gas power plant (combined cycle) - CCS - Air cooling (new),polar
NGCCC03N,Natural gas power plant (combined cycle) - CCS - NDT cooling (new),polardark
NGCCP02N,Natural gas power plant (combined cycle) - MDT cooling (new),saddlebrown
NGCCP02O,Natural gas power plant (combined cycle) - MDT cooling (old),polarpurple
NGCCP03N,Natural gas power plant (combined cycle) - NDT cooling (new),sandybrown
NGCCP03O,Natural gas power plant (combined cycle) - NDT cooling (old),powderblue
NGCCP04N,Natural gas power plant (combined cycle) - OTF/OTS cooling (new),seagreen
NGCCP04O,Natural gas power plant (combined cycle) - OTF/OTS cooling (old),red
NGGCP01N,Natural gas power plant (single cycle) - Air cooling (new),springgreen
NGGCP01O,Natural gas power plant (single cycle) - Air cooling (old),sienna
NGGCP02N,Natural gas power plant (single cycle) - MDT cooling (new),tan
NGGCP02O,Natural gas power plant (single cycle) - MDT cooling (old),skyblue
NGGCP03N,Natural gas power plant (single cycle) - NDT cooling (new),thistle
NGGCP03O,Natural gas power plant (single cycle) - NDT cooling (old),slategray
NGGCP04N,Natural gas power plant (single cycle) - OTF/OTS cooling (new),turquoise
NGGCP04O,Natural gas power plant (single cycle) - OTF/OTS cooling (old),smurf
NG00P00X,Natural gas process (non-power sector),peru
NEELBJBP00,Niger - Benin EL planned trade link,polardust
NEELBFBP00,Niger - Burkina Faso EL existing and planned trade link,rosybrown
NGNGDZBP00,Nigeria - Algeria Planned NG trade link,beige
NGNGBJBP00,Nigeria - Benin Historic NG trade link,lightsalmon
NGNGGHBP00,Nigeria - Ghana Historic NG trade link,lightskyblue
NGNGNEBP00,Nigeria - Niger Historic NG trade link,lightslategrey
NGNGTGBP00,Nigeria - Togo Historic NG trade link,lightteal
NUCAGG,Nuclear,polarbluelight
NULWP04N,Nuclear power plant - OTS/OTF cooling (new),yellowgreen
NULWP04O,Nuclear power plant - OTS/OTF cooling (old),whitesmoke
OILAGG,Oil,gray
HFGCP01N,Oil fired gas turbine (SCGT) - Air cooling (new),limegreen
HFGCP01O,Oil fired gas turbine (SCGT) - Air cooling (old),lightslategrey
HFGCP02N,Oil fired gas turbine (SCGT) - MDT cooling (new),magenta
HFGCP02O,Oil fired gas turbine (SCGT) - MDT cooling (old),lightteal
HFGCP03N,Oil fired gas turbine (SCGT) - NDT cooling (new),mediumaquamarine
HFGCP03O,Oil fired gas turbine (SCGT) - NDT cooling (old),lightblue2
HFGCP04N,Oil fired gas turbine (SCGT) - OTF/OTS cooling (new),mediumgray
HFGCP04O,Oil fired gas turbine (SCGT) - OTF/OTS cooling (old),lime
OREAGG,Other renewables,lightgreen
power_trade,power_trade,pinksalmon
RWELBIBP00,Rwanda - Burundi EL existing trade link,gray
RWELTZBP00,Rwanda - Tanzania EL planned trade link,orange
SNELMRBP00,Senegal - Mauritania EL planned trade link,whitesmoke
HYDMS01X,Small hydropower plant,mediumturquoise
SOLCSP,Solar CSP,lightgoldenrodyellow
SOLAR00X,Solar potential,lightgrey
SOLPV,Solar PV,yellow
SOV1F01X,Solar PV (roof top),navajowhite
SOU1P03X,Solar PV (utility),mediumorchid
SOV2F01X,Solar PV with storage,pearl04
ZAELSZBP00,South Africa - Swaziland EL existing trade link,gray
ZAELZWBP00,South Africa - Zimbabwe EL existing trade link,orange
ESELMABP00,Spain - Morocco Historic EL trade link,silver
TZELBIBP00,Tanzania - Burundi EL planned trade link,aqua
TZELKEBP00,Tanzania - Kenya EL planned trade link,polarbluelight
TZELUGBP00,Tanzania - Uganda EL existing trade link,blueviolet
TZNGUGBP00,Tanzania - Uganda NG planned trade link,bisque
TZELZMBP00,Tanzania - Zambia EL planned trade link,grey13
TGELBJBP00,Togo - Benin EL existing trade link,polargreen
TGELGHBP00,Togo - Ghana EL planned trade link,springgreen
Transmission & Distribution,Transmission & Distribution,magenta
EL00T00X,Transmission technology (Secondary to Tertiary),grey11
TNELDZBP00,Tunisia - Algeria Historic EL trade link,gray
UGELKEBP00,Uganda - Kenya EL existing and planned trade link,polarorange
UGELRWBP00,Uganda - Rwanda EL existing trade link,tomato
UGELTZBP00,Uganda - Tanzania EL existing and planned trade link,silver
UR00X00X,Uranium extraction,silver
UR00I00X,Uranium imports,polarorange
WA00000X,Water production technology,tomato
WIND,Wind,navy
WINDP01X,Wind (offshore),burlywood
WINDP00X,Wind (onshore),beige
WIND000X,Wind potential,yellow
ZMELTZBP00,Zambia - Tanzania EL planned trade link,pinksalmon
ZMELZWBP00,Zambia - Zimbabwe EL existing trade link,aqua
BM00E00X,Biomass exports (outside Africa),lightsalmon
CO00E00X,Coal exports (outside Africa),black
CR00E00X,Crude oil exports (outside Africa),sienna
HF00E00X,HFO exports (outside Africa),lightteal
LF00E00X,LFO exports (outside Africa),polarbluelight
